timestamp,index,name,gpu_utilization[%],memory.total[MiB],memory.used[MiB],memory.free[MiB],temperature[°C]
2025/05/20 22:24:27.466, 0, NVIDIA RTX A5000, 4, 24564, 1747, 22486, 48
2025/05/20 22:24:28.485, 0, NVIDIA RTX A5000, 7, 24564, 1747, 22486, 48
2025/05/20 22:24:29.503, 0, NVIDIA RTX A5000, 4, 24564, 1747, 22486, 48
2025/05/20 22:24:30.521, 0, NVIDIA RTX A5000, 7, 24564, 1747, 22486, 48
2025/05/20 22:24:31.538, 0, NVIDIA RTX A5000, 8, 24564, 2146, 22088, 49
2025/05/20 22:24:32.555, 0, NVIDIA RTX A5000, 29, 24564, 2324, 21910, 50
2025/05/20 22:24:33.573, 0, NVIDIA RTX A5000, 33, 24564, 2324, 21910, 51
2025/05/20 22:24:34.591, 0, NVIDIA RTX A5000, 31, 24564, 2324, 21910, 51
2025/05/20 22:24:35.608, 0, NVIDIA RTX A5000, 33, 24564, 2324, 21910, 52
2025/05/20 22:24:36.630, 0, NVIDIA RTX A5000, 31, 24564, 2324, 21910, 52
2025/05/20 22:24:37.649, 0, NVIDIA RTX A5000, 30, 24564, 2324, 21910, 52
2025/05/20 22:24:38.666, 0, NVIDIA RTX A5000, 29, 24564, 2324, 21910, 52
2025/05/20 22:24:39.682, 0, NVIDIA RTX A5000, 29, 24564, 2324, 21910, 53
2025/05/20 22:24:40.699, 0, NVIDIA RTX A5000, 31, 24564, 2324, 21910, 53
2025/05/20 22:24:41.716, 0, NVIDIA RTX A5000, 31, 24564, 2323, 21910, 53
2025/05/20 22:24:42.732, 0, NVIDIA RTX A5000, 32, 24564, 2323, 21910, 53
2025/05/20 22:24:43.749, 0, NVIDIA RTX A5000, 28, 24564, 2323, 21910, 54
2025/05/20 22:24:44.765, 0, NVIDIA RTX A5000, 28, 24564, 2323, 21910, 54
2025/05/20 22:24:45.782, 0, NVIDIA RTX A5000, 31, 24564, 2323, 21910, 54
2025/05/20 22:24:46.800, 0, NVIDIA RTX A5000, 28, 24564, 2323, 21910, 54
2025/05/20 22:24:47.817, 0, NVIDIA RTX A5000, 28, 24564, 2323, 21910, 54
2025/05/20 22:24:48.834, 0, NVIDIA RTX A5000, 29, 24564, 2323, 21910, 55
