timestamp,index,name,gpu_utilization[%],memory.total[MiB],memory.used[MiB],memory.free[MiB],temperature[°C]
2025/05/25 00:13:19.084, 0, NVIDIA RTX A5000, 10, 24564, 11325, 12909, 72
2025/05/25 00:13:20.102, 0, NVIDIA RTX A5000, 6, 24564, 11326, 12908, 70
2025/05/25 00:13:21.118, 0, NVIDIA RTX A5000, 37, 24564, 11327, 12906, 70
2025/05/25 00:13:22.137, 0, NVIDIA RTX A5000, 56, 24564, 11326, 12908, 70
2025/05/25 00:13:23.154, 0, NVIDIA RTX A5000, 64, 24564, 11326, 12908, 72
2025/05/25 00:13:24.170, 0, NVIDIA RTX A5000, 1, 24564, 11326, 12908, 69
2025/05/25 00:13:25.187, 0, NVIDIA RTX A5000, 22, 24564, 11928, 12306, 70
2025/05/25 00:13:26.204, 0, NVIDIA RTX A5000, 57, 24564, 12396, 11838, 72
2025/05/25 00:13:27.221, 0, NVIDIA RTX A5000, 10, 24564, 12870, 11364, 70
2025/05/25 00:13:28.237, 0, NVIDIA RTX A5000, 38, 24564, 13002, 11232, 70
2025/05/25 00:13:29.254, 0, NVIDIA RTX A5000, 72, 24564, 13002, 11232, 70
2025/05/25 00:13:30.269, 0, NVIDIA RTX A5000, 15, 24564, 13002, 11232, 72
2025/05/25 00:13:31.287, 0, NVIDIA RTX A5000, 1, 24564, 13001, 11232, 71
2025/05/25 00:13:32.303, 0, NVIDIA RTX A5000, 1, 24564, 13001, 11232, 69
2025/05/25 00:13:33.320, 0, NVIDIA RTX A5000, 51, 24564, 13001, 11232, 69
2025/05/25 00:13:34.337, 0, NVIDIA RTX A5000, 35, 24564, 13001, 11232, 70
2025/05/25 00:13:35.354, 0, NVIDIA RTX A5000, 72, 24564, 13001, 11232, 71
2025/05/25 00:13:36.372, 0, NVIDIA RTX A5000, 3, 24564, 13001, 11232, 70
2025/05/25 00:13:37.388, 0, NVIDIA RTX A5000, 1, 24564, 13001, 11232, 69
2025/05/25 00:13:38.405, 0, NVIDIA RTX A5000, 65, 24564, 11325, 12909, 70
2025/05/25 00:13:39.421, 0, NVIDIA RTX A5000, 64, 24564, 11325, 12909, 70
2025/05/25 00:13:40.439, 0, NVIDIA RTX A5000, 13, 24564, 11325, 12909, 72
